Condition,Accuracy_pct,PassAccuracy_pct,FailAccuracy_pct,FalseRejects,FalseRejectRate_pct,FalseAccepts,FalseAcceptRate_pct
Baseline,96.6101694915254,97.8260869565217,92.3076923076923,1,2.17391304347826,1,7.69230769230769
Brightness,96.6101694915254,97.8260869565217,92.3076923076923,1,2.17391304347826,1,7.69230769230769
Blur,98.3050847457627,100,92.3076923076923,0,0,1,7.69230769230769
Noise,89.8305084745763,86.9565217391304,100,6,13.0434782608696,0,0
